jobId,date,timestamp,baseline_mode,room_type,processing_mode,retry_attempt,final_outcome,opening_count_baseline,opening_count_candidate,opening_resize_pct,opening_visibility_reduction_pct,opening_relocation_pct_proxy,opening_issue_types,opening_hardFail,opening_pass,unified_score,unified_verdict,unified_hardFail,source_file,flags
job_6b27679b-6936-4891-8cf8-340d0944f953,2026-03-28,2026-03-28T10:45:17.209823542Z,unknown,bedroom,from_empty_or_initial,0,complete,,,26.8,,,opening_occlusion|opening_resized|opening_resized_major|opening_resized_minor,,,0.634,pass,,logs.1774695650686.log,resize>20
job_01d50143-c7bd-4c1b-9a51-810be0591fa6,2026-04-08,2026-04-08T12:28:47.283045668Z,unknown,kitchen,refresh,0,complete,,,92.5,,,opening_relocated|opening_resized,,,0.843,pass,,logs.1775654660135.log,resize>20|resize>30|resize>40|resize>50
job_0ca98979-e123-4fe4-9977-2d3317828b40,2026-04-29,2026-04-29T20:51:40.515058979Z,unknown,kitchen_dining,from_empty_or_initial,0,complete,,,26.3,,,opening_relocated|opening_resized|opening_resized_minor,,,0.805,pass,,logs.1777496254825.log,resize>20
job_c0c6890b-de60-4195-84e8-a4df8a41e821,2026-04-12,2026-04-12T12:48:35.353553983Z,unknown,kitchen_living,from_empty_or_initial,0,complete,,,66.5,,,opening_relocated|opening_removed|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1775999047987.log,resize>20|resize>30|resize>40|resize>50
job_e9128e0f-28b2-4090-91d7-3b014339f21c,2026-03-29,2026-03-29T04:33:18.217777839Z,unknown,unknown,from_empty_or_initial,1,unknown,,,45.9,,,opening_occlusion|opening_relocated|opening_resized|opening_resized_major|opening_resized_minor,,,0.627,pass,,logs.1774779505038.log,resize>20|resize>30|resize>40
job_798ca88c-debf-443c-a05c-515d25a13aef,2026-05-14,2026-05-14T01:59:47.975578845Z,unknown,kitchen,from_empty_or_initial,0,complete,,,53.4,,,opening_relocated|opening_removed|opening_resized|opening_resized_major|opening_resized_minor,,,1.0,pass,,logs.1778725048479.log,resize>20|resize>30|resize>40|resize>50
job_b1fec8df-4068-414b-b535-dc19123598c1,2026-04-08,2026-04-08T12:28:43.676867998Z,unknown,living_room,from_empty_or_initial,0,complete,,,92.5,,,opening_relocated|opening_resized|opening_resized_minor,,,0.533,pass,,logs.1775654660135.log,resize>20|resize>30|resize>40|resize>50
job_eb439f06-88f5-4926-9e7f-f809a833d64a,2026-06-01,2026-06-01T23:39:41.932667042Z,unknown,bedroom,from_empty_or_initial,0,complete,2,2,51.2,,50.0,opening_occlusion|opening_resized|opening_resized_minor,,,0.806,pass,,logs.1780359504093.log,resize>20|resize>30|resize>40|resize>50|relocation>20(proxy)|relocation>30(proxy)|relocation>40(proxy)
job_936bbccd-2d06-4815-909a-dfbb996519d8,2026-06-01,2026-06-01T23:49:09.679449896Z,unknown,bedroom,refresh,0,complete,2,2,27.4,,0.0,opening_occlusion|opening_resized|opening_resized_minor,,,0.806,pass,,logs.1780359504093.log,resize>20
job_f4717a6d-6e69-438d-9efc-9b8d548164fb,2026-06-10,2026-06-10T08:11:04.392603523Z,single_pass,living_dining,from_empty_or_initial,1,complete,5,5,79.4,,0.0,opening_occlusion|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781080123069.log,resize>20|resize>30|resize>40|resize>50
job_fa7092b1-30b1-4540-94e5-af79e64106c3,2026-06-10,2026-06-10T08:16:36.711938550Z,single_pass,living_dining,retry_stage2_only,1,complete,5,5,27.6,,40.0,opening_relocated|opening_removed|opening_resized,,,0.802,pass,,logs.1781080123069.log,resize>20|relocation>20(proxy)|relocation>30(proxy)
job_a8b56888-f511-4334-b9c2-4ba5222c5292,2026-06-10,2026-06-10T08:52:41.623797338Z,single_pass,unknown,from_empty_or_initial,1,complete,5,5,30.9,,0.0,opening_occlusion|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781215761750.log,resize>20|resize>30
job_b9a952c0-e6fa-42f7-9e67-649dd66f37e0,2026-06-10,2026-06-10T22:34:40.294063887Z,single_pass,bedroom,from_empty_or_initial,1,complete,2,2,,,50.0,opening_occlusion|opening_resized|opening_resized_minor,,,1.0,pass,,logs.1781215761750.log,relocation>20(proxy)|relocation>30(proxy)|relocation>40(proxy)
job_05d0e161-dcb2-4a51-b4e5-2d245ce0691d,2026-06-10,2026-06-10T22:34:48.662097456Z,single_pass,bedroom,from_empty_or_initial,1,complete,2,2,,,50.0,opening_relocated|opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781215761750.log,relocation>20(proxy)|relocation>30(proxy)|relocation>40(proxy)
job_ccfc5e12-399c-479c-adf7-a2aa5db2d421,2026-06-10,2026-06-10T22:38:38.896556711Z,single_pass,bedroom,retry_stage2_only,0,complete,2,2,,,100.0,,,,0.778,pass,,logs.1781215761750.log,relocation>20(proxy)|relocation>30(proxy)|relocation>40(proxy)|relocation>50(proxy)
job_be4a2ffe-4579-41b2-848d-ba8db14d1004,2026-06-11,2026-06-11T23:32:41.983869928Z,single_pass,bedroom,from_empty_or_initial,0,complete,1,2,,,100.0,opening_resized,,,0.807,pass,,logs.1781224601398.log,relocation>20(proxy)|relocation>30(proxy)|relocation>40(proxy)|relocation>50(proxy)
job_535e808f-922e-4c2e-afe8-6727f7e50ccd,2026-06-11,2026-06-11T23:32:42.202459688Z,single_pass,bedroom,from_empty_or_initial,0,complete,2,2,,,50.0,opening_resized|opening_resized_minor,,,0.807,pass,,logs.1781224601398.log,relocation>20(proxy)|relocation>30(proxy)|relocation>40(proxy)
job_82c8bf11-0b02-4b3b-b2e7-25cb2e4763be,2026-06-11,2026-06-11T23:38:03.153278851Z,single_pass,living_room,retry_stage2_only,1,complete,1,1,,,100.0,opening_relocated,,,0.991,pass,,logs.1781224601398.log,relocation>20(proxy)|relocation>30(proxy)|relocation>40(proxy)|relocation>50(proxy)
